record_id,gender,current_year,bac_specialty,study_hours_per_week,study_location,study_preference,learning_methods,resources_used,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_handling,english_level,programming_level,cs_level,math_level,fourth_field_level,year_ordinal,inferred_year,average_s1,average_s2,average,math_avg,math_n,programming_avg,programming_n,other_avg,other_n,all_modules_avg,all_modules_n,dataset_source,gender_encoded,bac_specialty_encoded,study_location_encoded,study_preference_encoded,feedback_influence_encoded,study_hours_per_week_encoded,sleep_hours_encoded,learning_methods_interactive_workshops,learning_methods_learning_by_practicing,learning_methods_learning_by_practicing_interactive_workshops,learning_methods_learning_by_practicing_mind_mapping_and_visualization,learning_methods_learning_by_practicing_mind_mapping_and_visualization_interactive_workshops,learning_methods_learning_by_practicing_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,learning_methods_learning_by_practicing_mind_mapping_and_visualization_online_courses_and_tutorials,learning_methods_learning_by_practicing_online_courses_and_tutorials,learning_methods_learning_by_practicing_project-based_learning,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_online_courses_and_tutorials,learning_methods_learning_by_practicing_project-based_learning_online_courses_and_tutorials,learning_methods_lectures,learning_methods_lectures_learning_by_practicing,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization_online_courses_and_tutorials,learning_methods_lectures_learning_by_practicing_online_courses_and_tutorials,learning_methods_lectures_learning_by_practicing_project-based_learning,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_interactive_workshops,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_online_courses_and_tutorials,learning_methods_lectures_learning_by_practicing_project-based_learning_online_courses_and_tutorials,learning_methods_lectures_mind_mapping_and_visualization_online_courses_and_tutorials,learning_methods_lectures_online_courses_and_tutorials,learning_methods_lectures_project-based_learning_interactive_workshops_online_courses_and_tutorials,learning_methods_mind_mapping_and_visualization,learning_methods_mind_mapping_and_visualization_online_courses_and_tutorials,learning_methods_online_courses_and_tutorials,learning_methods_project-based_learning,learning_methods_project-based_learning_online_courses_and_tutorials,resources_used_books,resources_used_books_online_documents,resources_used_books_online_documents_youtube_videos,resources_used_books_online_tutorials,resources_used_books_online_tutorials_online_documents_youtube_videos,resources_used_books_online_tutorials_online_documents_youtube_videos_private_courses,resources_used_books_online_tutorials_youtube_videos,resources_used_books_youtube_videos,resources_used_chat_gpt,resources_used_chat_gpt,resources_used_chatgpt,resources_used_chatgpt,resources_used_course_material,resources_used_lectures,resources_used_online_documents,resources_used_online_documents_youtube_videos,resources_used_online_tutorials,resources_used_online_tutorials_online_documents,resources_used_online_tutorials_online_documents_youtube_videos,resources_used_online_tutorials_online_documents_youtube_videos_asking_friends,resources_used_online_tutorials_online_documents_youtube_videos_couses_and_slides_sent_by_our_teachers,resources_used_online_tutorials_youtube_videos,resources_used_private_courses,resources_used_resources_provided_by_teachers_(slides),resources_used_slides,resources_used_youtube_videos,resources_used_youtube_videos_private_courses,resources_used_chatgpt,resources_used_chatgpt_course_slides
51,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Interactive workshops","Books, YouTube videos",1,Bad quality of internet,Not having a good (powerful) computer,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,Lack of motivation,2.0,0,2.0,5.0,You do not care about,5-7 hours,3.0,7.0,3.0,2.0,8.0,Pressure,2,1.0,13.0,11.0,12.0,3.8,5,3.0,2,4.2,5,3.8333333333333335,12,1Y,0,0,3,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Female,Second year,Science,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, YouTube videos",0,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,Private life problems,Lack of motivation,2.0,1,5.0,5.0,You do not care about,5-7 hours,3.0,5.0,5.0,4.0,6.0,Lack of time,2,1.0,13.0,11.0,12.0,3.6,5,3.5,2,4.0,5,3.75,12,1Y,0,1,2,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Male,Second year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",0,Lack of time,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,1,2.0,4.0,You do not care about,5-7 hours,2.0,8.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,11.0,12.0,3.4,5,3.5,2,4.4,5,3.8333333333333335,12,1Y,1,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Male,Second year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, YouTube videos",0,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,0,4.0,5.0,You do not care about,5-7 hours,2.0,9.0,4.0,5.0,7.0,Pressure,2,1.0,13.0,11.0,12.0,3.4,5,3.0,2,3.8,5,3.5,12,1Y,1,0,2,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Female,Second year,Science,26-33,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;YouTube videos,0,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Teaching language,Lack of motivation,3.0,0,2.0,3.0,Negatively,8 hours or more,2.0,7.0,5.0,3.0,4.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,11.0,12.0,2.5,4,3.0,3,3.4,5,3.0,12,1Y,0,1,2,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,1,Pressure,Not having a good (powerful) computer,Teachers' teaching method,Lack of time,Private life problems,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Lack of motivation,2.0,0,1.0,1.0,Positively,8 hours or more,3.0,8.0,7.0,9.0,8.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,11.0,12.0,3.0,4,3.333333333333333,3,3.4,5,3.25,12,1Y,0,1,3,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,Male,Second year,Mathematics,26-33,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,1,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Pressure,Private life problems,Teachers' teaching method,Teaching language,Lack of motivation,3.0,0,5.0,5.0,Positively,5-7 hours,3.0,8.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,11.0,12.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0,1Y,1,0,3,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,0,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,0,3.0,5.0,Positively,5-7 hours,3.0,6.0,7.0,7.0,6.0,Bad quality of internet,3,2.0,13.0,12.0,12.0,3.25,4,3.6666666666666665,3,3.6,5,3.5,12,1Y,1,1,3,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,Male,Second year,Mathematics,More than 41 hours,At home,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",0,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,0,3.0,4.0,You do not care about,8 hours or more,3.0,7.0,7.0,8.0,5.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,12.0,12.0,3.6,5,3.5,2,4.2,5,3.8333333333333335,12,1Y,1,0,0,1,2,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Female,Second year,Mathematics,26-33,In the school's library,Alone,Learning by practicing;Mind mapping and visualization,Books;Online documents;YouTube videos,1,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,The lack of الشغف,4.0,1,5.0,4.0,Positively,8 hours or more,5.0,8.0,7.0,8.0,8.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,12.0,12.0,3.0,4,3.6666666666666665,3,4.8,5,3.9166666666666665,12,1Y,0,0,2,0,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,Female,Second year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing,"Online documents, YouTube videos",0,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,Private life problems,Not having a good (powerful) computer,Lack of motivation,2.0,1,5.0,4.0,You do not care about,5-7 hours,1.0,8.0,3.0,3.0,6.0,Pressure,2,1.0,14.0,10.0,12.0,3.4,5,3.5,2,4.2,5,3.75,12,1Y,0,0,3,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Female,Second year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",1,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,1,5.0,5.0,You do not care about,5-7 hours,1.0,8.0,5.0,5.0,8.0,Lack of previous knowledge or experience in the field,2,1.0,14.0,10.0,12.0,3.6,5,3.0,2,4.2,5,3.75,12,1Y,0,1,3,0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Female,Second year,Science,18-25,In your room (dorms),In peer,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,1,Teachers' teaching method,Pressure,Lack of time,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,1,3.0,5.0,Negatively,5-7 hours,4.0,8.0,6.0,7.0,8.0,Lack of previous knowledge or experience in the field,2,2.0,14.0,10.0,12.0,3.5,0,3.6666666666666665,0,4.0,0,3.6666666666666665,0,1Y,0,1,3,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64,Female,Second year,Mathematics,26-33,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",0,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Bad quality of internet,Teaching language,Lack of motivation,2.0,0,2.0,3.0,You do not care about,5-7 hours,3.0,8.0,5.0,4.0,7.0,Not having a good (powerful) computer,2,1.0,14.0,11.0,12.0,3.6,5,3.5,2,4.2,5,3.8333333333333335,12,1Y,0,0,2,1,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,Female,Second year,Mathematics,34-41,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",1,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Lack of time,Lack of time,Lack of motivation,2.0,0,3.0,4.0,You do not care about,5-7 hours,3.0,8.0,7.0,7.0,7.0,Lack of previous knowledge or experience in the field,2,1.0,14.0,11.0,12.0,3.4,5,3.0,2,4.4,5,3.75,12,1Y,0,0,3,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Female,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online tutorials, Online documents",1,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,1,4.0,2.0,You do not care about,5-7 hours,4.0,8.0,6.0,7.0,7.0,Teachers' teaching method,2,1.0,14.0,11.0,12.0,3.4,5,3.0,2,4.4,5,3.75,12,1Y,0,1,3,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",0,Pressure,Private life problems,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,Lack of motivation,3.0,1,5.0,5.0,You do not care about,5-7 hours,4.0,9.0,7.0,7.0,8.0,Not having a good (powerful) computer,2,1.0,14.0,11.0,12.0,3.6,5,4.0,2,4.2,5,3.9166666666666665,12,1Y,1,0,3,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Female,Second year,Mathematics,26-33,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials",0,Private life problems,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Lack of motivation,2.0,1,2.0,5.0,You do not care about,8 hours or more,1.0,8.0,5.0,4.0,6.0,Lack of previous knowledge or experience in the field,2,1.0,14.0,11.0,12.0,3.4,5,3.5,2,4.2,5,3.75,12,1Y,0,0,3,0,2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Male,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",0,Teachers' teaching method,Lack of time,Private life problems,Lack of previous knowledge or experience in the field,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,2.0,0,3.0,4.0,You do not care about,5-7 hours,3.0,6.0,8.0,7.0,6.0,Teaching language,2,1.0,14.0,12.0,12.0,3.4,5,4.0,2,4.0,5,3.75,12,1Y,1,1,3,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Female,Second year,Science,26-33,In your room (dorms),In peer,Lectures;Learning by practicing;Mind mapping and visualization,Books;YouTube videos,0,Teachers' teaching method,Pressure,Private life problems,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,0,5.0,3.0,Positively,5-7 hours,3.0,7.0,6.0,6.0,7.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,12.0,13.0,2.75,4,4.0,3,4.0,5,3.583333333333333,12,1Y,0,1,3,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,Female,Second year,Mathematics,34-41,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,0,Pressure,Lack of time,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,Lack of motivation,2.0,1,3.0,5.0,You do not care about,5-7 hours,4.0,8.0,5.0,6.0,6.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,12.0,13.0,3.0,4,3.333333333333333,3,4.2,5,3.583333333333333,12,1Y,0,0,3,0,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
72,Male,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books,0,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,3.0,1,4.0,5.0,You do not care about,8 hours or more,4.0,6.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,2,2.0,13.0,12.0,13.0,3.5,4,3.6666666666666665,3,3.8,5,3.6666666666666665,12,1Y,1,1,3,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Male,Third year,Mathematics,10-17,In your room (dorms),In peer,Lectures;Project-based learning,Online documents;YouTube videos,0,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,1,4.0,4.0,Negatively,8 hours or more,4.0,7.0,6.0,7.0,5.0,Bad quality of internet,3,2.0,13.0,12.0,13.0,3.5,4,4.0,2,3.5,2,3.625,8,1Y,1,0,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,Male,Second year,Technical maths,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",0,Teaching language,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Lack of motivation,1.0,1,2.0,3.0,You do not care about,8 hours or more,3.0,2.0,6.0,6.0,8.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,13.0,13.0,4.2,5,4.0,2,3.8,5,4.0,12,1Y,1,2,3,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Female,Second year,Science,18-25,In the school's library,With a group,Learning by practicing;Project-based learning;Mind mapping and visualization,YouTube videos,1,Lack of time,Bad quality of internet,Private life problems,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,1,4.0,4.0,Positively,5-7 hours,5.0,8.0,6.0,7.0,7.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,13.0,13.0,3.25,4,3.6666666666666665,3,3.8,5,3.583333333333333,12,1Y,0,1,2,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,Online documents,0,Pressure,Teaching language,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Lack of motivation,2.0,1,2.0,3.0,You do not care about,5-7 hours,4.0,6.0,8.0,9.0,7.0,Lack of time,2,1.0,13.0,13.0,13.0,3.8,5,4.0,2,3.8,5,3.8333333333333335,12,1Y,1,0,3,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Female,Second year,Mathematics,34-41,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,0,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,Lack of motivation,3.0,1,5.0,5.0,You do not care about,5-7 hours,2.0,10.0,9.0,7.0,8.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,13.0,13.0,3.25,4,3.6666666666666665,3,3.8,5,3.583333333333333,12,1Y,0,0,2,0,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,1,Private life problems,Lack of time,Pressure,Teachers' teaching method,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",1.0,0,2.0,3.0,You do not care about,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,4,3.0,13.0,13.0,13.0,4.0,4,3.333333333333333,3,3.75,4,3.727272727272727,11,1Y,1,2,3,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,Online courses and tutorials,Online tutorials;YouTube videos;Private courses,0,Teachers' teaching method,Lack of time,Lack of time,Lack of previous knowledge or experience in the field,Teaching language,Teaching language,Not having a good (powerful) computer,Private life problems,Lack of motivation,3.0,1,4.0,4.0,Negatively,5-7 hours,3.0,8.0,8.0,7.0,7.0,Lack of previous knowledge or experience in the field,2,1.0,13.0,13.0,13.0,4.0,4,3.6666666666666665,3,3.4,5,3.6666666666666665,12,1Y,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,0,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,Lack of time,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,0,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,4,3.0,13.0,13.0,13.0,3.25,4,3.333333333333333,3,3.2,5,3.25,12,1Y,1,2,0,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
